load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions
L-1001,Chicago,Detroit,2025-09-16T08:00:00,2025-09-17T17:00:00,Dry Van,1200,No hazmat,21000,Consumer Goods,20,283,48x102
L-1002,Dallas,Houston,2025-09-16T09:00:00,2025-09-16T18:00:00,Flatbed,900,Tarp required,18000,Steel,12,239,48x102
L-1003,Los Angeles,Sacramento,2025-09-17T07:00:00,2025-09-17T15:00:00,Reefer,1600,Chilled 34°F,26000,Produce,16,384,53x102
L-1004,Phoenix,San Diego,2025-09-18T06:00:00,2025-09-18T20:00:00,Dry Van,1400,No weekends,22000,Electronics,22,355,53x102
L-1005,Newark,Boston,2025-09-19T08:00:00,2025-09-20T12:00:00,Reefer,1800,Temp 36°F,25000,Pharma,14,216,53x102
L-1006,Atlanta,Miami,2025-09-20T08:00:00,2025-09-21T19:00:00,Dry Van,1700,Live unload,24000,Food,18,663,53x102
L-1007,Seattle,Portland,2025-09-16T10:00:00,2025-09-16T18:30:00,Flatbed,800,Chains required,20000,Lumber,10,174,48x102
L-1008,San Jose,Los Angeles,2025-09-16T12:00:00,2025-09-17T03:00:00,Dry Van,1500,No touch,23000,Electronics,24,342,53x102
L-1009,Denver,Kansas City,2025-09-17T08:30:00,2025-09-18T23:00:00,Flatbed,1900,Straps ok,27000,Industrial,15,604,48x102
L-1010,Austin,El Paso,2025-09-18T09:00:00,2025-09-19T17:00:00,Dry Van,1100,Flexible pickup,19000,Paper,19,575,53x102
